sample_id	Bact_Phoc	Prevotella	Firmicutes	enterotype	Enterotype_Dysbiosis_Score
SAMEA7324897	0.15161190927028656	0.6906274557113647	0.16015036404132843	Prevotella	0.5656041747566001
SAMEA7324854	0.31978172063827515	0.3029225170612335	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324836	0.26837772130966187	0.4136742949485779	0.33865076303482056	Prevotella	0.9194868601712295
SAMEA7324947	0.5654081106185913	0.1573394238948822	0.31145673990249634	Bact_Phoc	0.5256749466807824
SAMEA7324952	0.37325963377952576	0.17831826210021973	0.42450326681137085	Firmicutes	0.7575033989814147
SAMEA7324822	0.34147197008132935	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324909	0.45443516969680786	0.22500964999198914	0.3569004237651825	Bact_Phoc	0.7584899064593176
SAMEA7324917	0.4416024684906006	0.23586392402648926	0.35555630922317505	Bact_Phoc	0.7854121885071447
SAMEA7324940	0.3445381224155426	0.29605868458747864	0.3852778971195221	Firmicutes	0.8349308457500487
SAMEA7324950	0.2561071515083313	0.3868447244167328	0.38432055711746216	Prevotella	0.9537689042619365
SAMEA7324949	0.3118957579135895	0.1969483345746994	0.4632701575756073	Firmicutes	0.6809809494898267
SAMEA7324780	0.3188799023628235	0.30674314498901367	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324824	0.31680721044540405	0.30674314498901367	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324938	0.43994298577308655	0.14789196848869324	0.41644570231437683	Bact_Phoc	0.7888936894831666
SAMEA7324893	0.3979658782482147	0.1644825041294098	0.4271262288093567	Firmicutes	0.7523259015589392
SAMEA7324913	0.344035267829895	0.29747289419174194	0.38684985041618347	Firmicutes	0.8318279475197403
SAMEA7324783	0.2722523808479309	0.40233901143074036	0.35234615206718445	Prevotella	0.9339707554269485
SAMEA7324837	0.3174992799758911	0.3081168234348297	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324795	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324839	0.3261452615261078	0.29756081104278564	0.3856413662433624	Firmicutes	0.8342133895103938
SAMEA7324866	0.3369024991989136	0.29747289419174194	0.3886275887489319	Firmicutes	0.828318847638496
SAMEA7324927	0.3977835774421692	0.20792075991630554	0.41016075015068054	Firmicutes	0.7858142716130272
SAMEA7324904	0.5778152346611023	0.16072912514209747	0.30009791254997253	Bact_Phoc	0.49964550147611386
SAMEA7324844	0.344117671251297	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324899	0.35416334867477417	0.200192391872406	0.41930925846099854	Firmicutes	0.7677559168856083
SAMEA7324916	0.599403977394104	0.14288175106048584	0.3070848286151886	Bact_Phoc	0.45435353904542075
SAMEA7324933	0.20585323870182037	0.5811685919761658	0.21801406145095825	Prevotella	0.7054675239755088
SAMEA7324875	0.3229507803916931	0.2142009437084198	0.42457687854766846	Firmicutes	0.75735809585646
SAMEA7324910	0.4865626096725464	0.19336611032485962	0.3480975329875946	Bact_Phoc	0.6910883526786462
SAMEA7324905	0.34528324007987976	0.2965516746044159	0.3849923312664032	Firmicutes	0.8354945277513912
SAMEA7324843	0.3127337694168091	0.31409043073654175	0.3799925744533539	Firmicutes	0.8453636101217975
SAMEA7324962	0.5828730463981628	0.13444700837135315	0.3176165521144867	Bact_Phoc	0.48903449823198875
SAMEA7324790	0.3077116906642914	0.3372233808040619	0.3829233646392822	Firmicutes	0.8395784867974364
SAMEA7324878	0.30249708890914917	0.26193055510520935	0.4244164228439331	Firmicutes	0.7576748213725556
SAMEA7324840	0.34224146604537964	0.29747289419174194	0.3874813914299011	Firmicutes	0.8305813408311107
SAMEA7324939	0.3445381224155426	0.29922592639923096	0.38478001952171326	Firmicutes	0.8359136125538922
SAMEA7324811	0.3370591402053833	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324818	0.25069984793663025	0.4525350332260132	0.3002476394176483	Prevotella	0.8698317402190412
SAMEA7324886	0.16662220656871796	0.6170516014099121	0.2234676331281662	Prevotella	0.6596172592441056
SAMEA7324779	0.32240861654281616	0.2983591854572296	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324785	0.31710296869277954	0.31109437346458435	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324800	0.31180649995803833	0.3217417299747467	0.3881530165672302	Firmicutes	0.8292556115906331
SAMEA7324908	0.3487207293510437	0.2918105125427246	0.3841317296028137	Firmicutes	0.8371932801154873
SAMEA7324788	0.22269274294376373	0.4755629003047943	0.2805429995059967	Prevotella	0.8404074021152055
SAMEA7324929	0.37191852927207947	0.19369156658649445	0.4324266314506531	Firmicutes	0.7418633706360862
SAMEA7324869	0.3292318880558014	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324857	0.330079048871994	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324945	0.464847594499588	0.17085619270801544	0.3875291645526886	Bact_Phoc	0.7366452275536293
SAMEA7324941	0.47464433312416077	0.1504206508398056	0.38406091928482056	Bact_Phoc	0.7160922234618632
SAMEA7324919	0.4803425073623657	0.20450517535209656	0.3386843800544739	Bact_Phoc	0.7041377758725738
SAMEA7324815	0.3370591402053833	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324870	0.2973058223724365	0.34555456042289734	0.3781089782714844	Firmicutes	0.8490816641325315
SAMEA7324834	0.30634236335754395	0.35579872131347656	0.3743208050727844	Firmicutes	0.8565591864859705
SAMEA7324895	0.4949283003807068	0.17502835392951965	0.3742190897464752	Bact_Phoc	0.673537606257383
SAMEA7324963	0.5772063732147217	0.13933774828910828	0.33694159984588623	Bact_Phoc	0.5009228583882797
SAMEA7324885	0.4381086528301239	0.1838056892156601	0.40815258026123047	Bact_Phoc	0.7927420163526626
SAMEA7324884	0.41047441959381104	0.19640935957431793	0.4163379669189453	Firmicutes	0.7736209863422826
SAMEA7324816	0.33719295263290405	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324804	0.29737186431884766	0.34555456042289734	0.37878862023353577	Firmicutes	0.8477401103816844
SAMEA7324922	0.3430136740207672	0.25429967045783997	0.41590917110443115	Firmicutes	0.7744673917519378
SAMEA7324856	0.34175431728363037	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324887	0.3264103829860687	0.27780187129974365	0.416856586933136	Firmicutes	0.7725972758238769
SAMEA7324956	0.34508952498435974	0.27159157395362854	0.4011634290218353	Firmicutes	0.8035741960761161
SAMEA7324889	0.3470836281776428	0.2694089412689209	0.4025214910507202	Firmicutes	0.8008935004886418
SAMEA7324845	0.3445381224155426	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324784	0.32907000184059143	0.29747289419174194	0.38441532850265503	Firmicutes	0.8366334807077671
SAMEA7324900	0.3881787657737732	0.1884165108203888	0.42651602625846863	Firmicutes	0.7535303879894848
SAMEA7324864	0.344035267829895	0.29747289419174194	0.38753268122673035	Firmicutes	0.830480099261051
SAMEA7324838	0.32894954085350037	0.2975322902202606	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324865	0.33188265562057495	0.29747289419174194	0.3886275887489319	Firmicutes	0.828318847638496
SAMEA7324802	0.324104368686676	0.29756081104278564	0.38414373993873596	Firmicutes	0.8371695727635211
SAMEA7324810	0.30390429496765137	0.34081265330314636	0.38104188442230225	Firmicutes	0.8432923640786677
SAMEA7324879	0.2812453806400299	0.35300180315971375	0.3999650478363037	Firmicutes	0.8059396956540733
SAMEA7324868	0.3213883638381958	0.30209261178970337	0.38414373993873596	Firmicutes	0.8371695727635211
SAMEA7324936	0.48090463876724243	0.13913284242153168	0.38357844948768616	Bact_Phoc	0.7029584559471078
SAMEA7324953	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324778	0.34461918473243713	0.2980443239212036	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324808	0.32422417402267456	0.29756081104278564	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324928	0.5374183654785156	0.14113086462020874	0.3663632273674011	Bact_Phoc	0.584395850487334
SAMEA7324862	0.3440198600292206	0.29747289419174194	0.3886275887489319	Firmicutes	0.828318847638496
SAMEA7324915	0.5911173224449158	0.13968445360660553	0.30659717321395874	Bact_Phoc	0.4717384729100972
SAMEA7324894	0.41244393587112427	0.1894446760416031	0.40541577339172363	Bact_Phoc	0.8465851424057822
SAMEA7324781	0.3138226866722107	0.3118927478790283	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324935	0.14593271911144257	0.7144696712493896	0.16561439633369446	Prevotella	0.5351392859010535
SAMEA7324819	0.32415932416915894	0.2984526753425598	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324812	0.3176373243331909	0.30925998091697693	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324852	0.3174992799758911	0.3106720745563507	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324861	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324817	0.32436853647232056	0.29756081104278564	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324960	0.14798562228679657	0.6797147393226624	0.18483877182006836	Prevotella	0.5795481260376254
SAMEA7324921	0.44034409523010254	0.2067321091890335	0.3704369068145752	Bact_Phoc	0.7880521845061309
SAMEA7324946	0.381196528673172	0.17220573127269745	0.4387821853160858	Firmicutes	0.729318063543589
SAMEA7324799	0.3120995759963989	0.32357004284858704	0.3825492560863495	Firmicutes	0.8403169443389572
SAMEA7324851	0.3292635381221771	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324867	0.2883222997188568	0.40751704573631287	0.37044215202331543	Prevotella	0.927354413948201
SAMEA7324961	0.5913943648338318	0.14729171991348267	0.29444631934165955	Bact_Phoc	0.47115725363180594
SAMEA7324942	0.5644360184669495	0.14760370552539825	0.3182586431503296	Bact_Phoc	0.5277143410890557
SAMEA7324951	0.3050270974636078	0.2337445765733719	0.46482592821121216	Firmicutes	0.6779099944161379
SAMEA7324813	0.29758819937705994	0.3446502685546875	0.38143986463546753	Firmicutes	0.8425067859690947
SAMEA7324930	0.5603482127189636	0.1370929479598999	0.3317328095436096	Bact_Phoc	0.5362903265760995
SAMEA7324849	0.339901328086853	0.2982712686061859	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324797	0.3085094690322876	0.35457125306129456	0.3778887391090393	Firmicutes	0.8495163969638737
SAMEA7324876	0.2585741877555847	0.45267045497894287	0.3067264258861542	Prevotella	0.8696587022459112
SAMEA7324882	0.1572844386100769	0.6819593906402588	0.17574064433574677	Prevotella	0.5766799759363492
SAMEA7324793	0.19572798907756805	0.5458700060844421	0.24825389683246613	Prevotella	0.7505710293202311
SAMEA7324911	0.46239688992500305	0.22970086336135864	0.34905755519866943	Bact_Phoc	0.7417866672795821
SAMEA7324826	0.2935152053833008	0.34202685952186584	0.38204866647720337	Firmicutes	0.8413050644158254
SAMEA7324873	0.34461918473243713	0.29752689599990845	0.38440895080566406	Firmicutes	0.8366460697234515
SAMEA7324903	0.5501572489738464	0.17164146900177002	0.3222186863422394	Bact_Phoc	0.5576703926959679
