onlyID	kingdom	phylum	class	order	family	genus	species
07427	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus solitarius
07428	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium resistens
07429	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Curtobacterium	Curtobacterium ammoniigenes
07430	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Neokomagataea	Neokomagataea thailandica
07431	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium cloacae
07432	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium amiense
07433	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Skermania	Skermania piniformis
07434	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Gordonia	Gordonia paraffinivorans
07435	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Gordonia	Gordonia soli
07436	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sulfuritalea	Sulfuritalea hydrogenivorans
07437	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	LSJC7	LSJC7 sp000302695
07438	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium marinum
07439	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium maris
07440	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pustulibacterium	Pustulibacterium marinum
07441	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea sp000295955
07442	Bacteria	Firmicutes	Bacilli	Bacillales_H	Marinococcaceae	C254	C254 sp002797315
07443	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella_A	Rickettsiella_A isopodorum
07444	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria sp001238295
07445	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter arizonensis
07446	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Peptidiphaga	Peptidiphaga sp000466165
07447	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sp000466425
07448	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp000467855
07449	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Halobiforma_A	Halobiforma_A nitratireducens
07450	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus saccharolyticus
07451	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus salifodinae
07452	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halogeometricum	Halogeometricum pallidum
07453	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema	Natrinema versiforme
07454	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus amylolyticus
07455	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus jeotgali
07456	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronolimnohabitans	Natronolimnohabitans innermongolicus
07457	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronorubrum	Natronorubrum bangense
07458	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cribrihabitans	Cribrihabitans marinus
07459	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum sp001189275
07460	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter swuensis
07461	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Rippkaea	Rippkaea sp000829235
07462	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Nodosilinea	Nodosilinea sp000763385
07463	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium sp000471045
07464	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium deserti
07465	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Vogesella	Vogesella sp000335715
07466	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	Blattabacterium	Blattabacterium cuenoti
07467	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium	Alkalibacterium sp000585255
07468	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincola	Nitrincola alkalisediminis
07469	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc carnosum
07470	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus sediminis
07471	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella_A	Moraxella_A macacae
07472	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_AO	Clostridium_AO tetanomorphum
07473	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum aidingense
07474	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronorubrum	Natronorubrum sulfidifaciens
07475	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	S5-A14a	S5-A14a sp000758905
07476	Bacteria	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Paenisporosarcina	Paenisporosarcina antarctica
07477	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium gorillae
07478	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Schleiferilactobacillus	Schleiferilactobacillus shenzhenensis
07479	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter cibinongensis
07480	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter indonesiensis
07481	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter orientalis
07482	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter syzygii
07483	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Palleronia	Palleronia guishaninsula
07484	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Tanticharoenia	Tanticharoenia sakaeratensis
07485	Bacteria	Aquificota	Aquificae	Hydrogenothermales	Hydrogenothermaceae	Persephonella	Persephonella marina
07486	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus agarilyticus
07487	Bacteria	Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	Trichloromonadaceae	ATBO01	ATBO01 sp000472285
07488	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Nesterenkonia	Nesterenkonia massiliensis
07489	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus ihuae
07490	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacula	unknown
07491	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Lunatimonas	Lunatimonas lonarensis
07492	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	Marinobacterium sp000705555
07493	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosospira	Nitrosospira tenuis
07494	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Brasilonema	Brasilonema tolypothrichoides
07495	Bacteria	Firmicutes	Bacilli	Lactobacillales	Catellicoccaceae	Catellicoccus	Catellicoccus marimammalium
07496	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Pacificimonas	Pacificimonas flava
07497	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter papayae
07498	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	Pseudorhodoplanes sinuspersici
07499	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2 sp000403845
07500	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp000403335
07501	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	Dubosiella sp000403415
07502	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter sp000403435
07503	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	ASTD01	ASTD01 sp000403455
07504	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	MD308	MD308 sp000403475
07505	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp000403495
07506	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J plexicaudatum
07507	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp000403395
07508	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Iodobacter	Iodobacter sp000969645
07509	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halopelagius	Halopelagius longus
07510	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus
07511	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola paurosaccharolyticus
07512	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Asaia	Asaia astilbis
